variant,overall_n,overall,Music Arena,MusicPrefs,AIME,SongEval,n_Music Arena,n_MusicPrefs,n_AIME,n_SongEval
A1_clap_audio_only,2035,0.7051597051597052,0.8,0.7330097087378641,0.6711538461538461,0.8875502008032129,20,206,1560,249
A2_mert_only,2035,0.6948402948402949,0.7,0.6504854368932039,0.6705128205128205,0.8835341365461847,20,206,1560,249
A3_text_only,2035,0.5154791154791155,0.55,0.5436893203883495,0.5108974358974359,0.5180722891566265,20,206,1560,249
A4_clap_audio_mert,2035,0.7012285012285012,0.7,0.6844660194174758,0.6705128205128205,0.9076305220883534,20,206,1560,249
A5_clap_audio_text,2035,0.7081081081081081,0.85,0.7669902912621359,0.6705128205128205,0.8835341365461847,20,206,1560,249
A6_mert_text,2035,0.6982800982800983,0.8,0.6893203883495146,0.6666666666666666,0.8955823293172691,20,206,1560,249
A7_full,2035,0.7046683046683047,0.7,0.6699029126213593,0.6743589743589744,0.9236947791164659,20,206,1560,249
